Process: System Idle Process, Start Time: 1970-01-01 04:00:00
Process: System, Start Time: 1970-01-01 04:00:00
Process: , Start Time: 2025-05-11 14:40:14
Process: Registry, Start Time: 2025-05-11 14:40:14
Process: UpdateService.exe, Start Time: 2025-05-11 14:42:24
Process: smss.exe, Start Time: 2025-05-11 14:40:15
Process: wininit.exe, Start Time: 2025-05-11 14:40:20
Process: csrss.exe, Start Time: 2025-05-11 14:40:20
Process: csrss.exe, Start Time: 2025-05-11 14:40:19
Process: winlogon.exe, Start Time: 2025-05-11 14:40:20
Process: services.exe, Start Time: 2025-05-11 14:40:20
Process: LsaIso.exe, Start Time: 2025-05-11 14:40:20
Process: lsass.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: fontdrvhost.exe, Start Time: 2025-05-11 14:40:20
Process: fontdrvhost.exe, Start Time: 2025-05-11 14:40:20
Process: WUDFHost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:55:24
Process: WUDFHost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:42:23
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: Code.exe, Start Time: 2025-05-11 14:42:12
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
Process: svchost.exe, Start Time: 2025-05-11 14:40:20
